调研地,村名,村落光伏发展指数,分组,if_exp_unit,村内常住人口总数,是否为贫困村,村人均收入,领取低保补助人数,教育结构,性别结构,年龄结构,是否对光伏政策进行了推广普及,村干部是否包含大学生村官或选调生,全村每年电力消耗,村内电价,村内家庭用电所占比例,是否出现过电力负荷过高,村内是否有除光伏外的其他新能源建设
北京-北京市-房山区,双柳树村,0.271086462,2,1,580,0,10000,2,0.6,0.55,0.18,0,0,-1,0.338,1.0,1,1
安徽-宣城市-泾县,紫阳村,0.542285351,3,0,1500,0,15000,210,0.1,0.6,0.35,0,1,1400000,0.58,0.5,1,1
安徽-宣城市-广德市,巫冲村,0.168592909,3,1,2700,0,10000,49,0.3,0.5,0.35,0,1,-1,0.56,0.85,1,1
安徽-芜湖市-无为市,金李村,1.402086271,3,0,1440,1,11000,60,0.2,0.55,0.1,1,0,500000,0.5,0.5,0,0
安徽-芜湖市-繁昌区,孙村镇茶山村骆冲自然村,1.558827749,3,1,51,0,20000,0,0.1,0.43,0.05,0,0,30000,0.57,0.4,0,1
安徽-马鞍山市-博望区,西城村,1.36001932,3,0,17000,0,38000,187,0.6,0.6,0.3,0,1,4500000,0.56,0.6,0,0
安徽-六安市-金寨县,汤家汇镇街道村,1.043728012,3,1,4228,0,14200,130,0.25,0.45,0.3,1,1,4000000,0.557,0.8,0,0
安徽-合肥市-肥西县,义城,2.22102028,3,0,36000,0,-1,5781,0.8590000000000001,0.55,0.47200000000000003,1,1,6000000,0.55,0.39,0,1
安徽-合肥市-肥东县,群力村,0.271422643,3,0,840,0,27600,96,0.35,0.6,0.05,0,1,420000,0.6,0.8,0,1
安徽-合肥市-肥东县,陂塘村,0.0,3,0,1800,0,28800,100,0.3,0.6,0.07,0,0,900000,0.6,0.95,0,0
安徽-合肥市-肥东县,兴一社区,0.918677953,3,0,859,0,15000,110,-0.02,0.4,0.13,1,0,-1,0.5,0.9,1,0
安徽-阜阳市-颍泉区,吴庄行政村,0.031008596,3,0,390,0,13000,21,0.2,0.6,0.25,0,0,2000000,0.58,0.9,0,0
安徽-阜阳市-界首市,小张行政村,0.317751438,3,0,1820,1,12000,113,0.8,0.6,0.05,0,0,0,0.58,0.0,0,0
安徽-滁州市-定远县,卜店村,1.670157917,3,0,4786,0,-1,14,0.1,0.5710000000000001,0.2,1,1,350000,0.53,0.7,0,1
安徽-池州市-贵池区,龙山村,1.436078486,3,1,1200,0,3300,15,0.8,0.6,0.15,0,1,1000000,0.62,0.6,1,1
安徽-亳州市-蒙城县,马洼村,2.843621363,3,0,1800,1,14000,70,0.1,0.6,0.1,1,0,830000,0.56,0.6,0,1
